NAMA,PARTAI,URUT,KUNINGAN,KOTA BANJAR,PANGANDARAN
"H YANUAR PRIHATIN, MSI",PKB,1,15398,1778,2793
"RINA SAADAH, LC, MSI",PKB,2,2713,633,1399
AHMAD IRFAN ALAWI,PKB,3,1463,571,7700
DRG. ENDAH FUTIHATUL FAJRIYAH,PKB,4,787,135,478
"DEDE IIN SOBIRIN, SH",PKB,5,684,128,374
ASEP IRFAN,PKB,6,685,260,1808
EVA FITRIAH,PKB,7,548,60,116
"ARDHYA PRATIWI S, SE",GERINDRA,1,18725,3914,3771
"DADAY HUDAYA, SH., MH",GERINDRA,2,7384,1375,2370
"AHMAD BAHTIAR SEBAYANG, SE",GERINDRA,3,4656,788,1425
"RUSMIN EFFENDY, SH, MH",GERINDRA,4,1852,392,522
"SHEILA AYU SAYIDAH, S.I.Kom",GERINDRA,5,3043,574,739
"TUTI ROSINTA HUTAGALUNG, SH",GERINDRA,6,1543,235,409
BAMBANG SUDIYONO,GERINDRA,7,1627,327,317
"Drs. MUHAMAD NURDIN, M.M.",PDIP,1,26194,4080,15422
"Ir. H. GATOT TJAHYONO, M.M.",PDIP,2,9622,1792,10524
AUGUSTINA CONNIE,PDIP,3,6691,1124,5603
YAYAN SOPYANI,PDIP,4,5572,856,4596
"LUTHFI FAUZI, S.HI., M.M.",PDIP,5,3128,812,19786
"Dr. ETIN NURHAETIN NINGRUM, S.Ag., M.M., M.Si",PDIP,6,3097,478,1731
"YESSY DIYANTARI, S.TP., M.M.",PDIP,7,1220,1167,1248
"Drs. AGUN GUNANDJAR SUDARSA, Bc.IP., M.Si.",GOLKAR,1,7523,12248,14999
KHOLIS MALIK,GOLKAR,2,4778,2066,1608
HJ. RENNY SOEDIRO,GOLKAR,3,2907,5019,1400
"ENGKUS KUSNADI, S.H",GOLKAR,4,2111,1028,12609
"AYUNINGTYAS WIDARI RAMDHANIAR, S.I.A.",GOLKAR,5,1956,369,542
"DENI YUSUP, S.Ag., M.Si",GOLKAR,6,732,344,417
"ETTY ROBIAH AFDHAL, M.A",GOLKAR,7,795,223,187
"Dr. Ir. MUSTOHA ISKANDAR, SH, MDM",NASDEM,1,4214,580,1242
"DR. H. AGUS SUPARMAN, MM.",NASDEM,2,15061,219,876
"ERNA M. MOCHTAR, S.H, M.Si",NASDEM,3,1016,311,302
"TUBAGUS FERI RELASYAH, S.S0S",NASDEM,4,1149,56,116
KRISNA MUKTI,NASDEM,5,2102,262,324
SELFI NAFILAH,NASDEM,6,270,42,114
LISDA OKTAVIANTI,NASDEM,7,125,31,900
"Laksma TNI (Purn) H. DIDIN ZAINAL ABIDIN, M.M",PGPI,1,1218,76,104
Dra. NITA SAFTINA,PGPI,2,245,30,68
Drs. H. EKA SANTOSA,BERKARYA,1,2542,940,1592
