PARTAI,,KUNINGAN,KOTA BANJAR,PANGANDARA
PKB,"19,049",17215,2711,7674
GERINDRA,"39,475",39305,5408,8504
PDIP,"43,744",46179,6750,27205
GOLKAR,"18,307",15112,6798,10912
NASDEM,"8,530",7891,915,1878
PGPI,"1,976",2205,196,667
BERKARYA,"7,994",6556,1333,2983
PKS,"32,659",29961,4054,4820
PPI,"6,434",6729,1226,2751
PPP,"15,515",10067,1839,4092
PSI,"1,461",1994,360,378
PAN,"18,931",13663,1432,4772
HANURA,"1,538",518,651,239
DEMOKRAT,"15,182",15951,1672,2092
PBB,"5,230",2662,285,423
PKPI,587,661,86,139
